ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1398	130	0	0	0.000000	1.992308	1.992308	0.000000	0.000000	0	0	0
1399	165	0	0	0.000000	2.036364	2.036364	0.000000	0.000000	0	0	0
1400	55	0	2	0.000000	1.490909	1.490909	0.000000	0.000000	0	0	0
1401	71	1	0	0.000000	1.267606	1.267606	0.000000	0.000000	0	0	0
1402	1	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
1403	1	4	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
1404	75	0	1	0.000000	1.306667	1.306667	0.000000	0.000000	0	0	0
1405	81	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1406	137	1	1	0.000000	2.284672	2.284672	0.000000	0.000000	0	0	0
1407	3	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1408	51	1	2	0.000000	1.176471	1.176471	0.000000	0.000000	0	0	0
1409	155	0	0	0.000000	2.516129	2.516129	0.000000	0.000000	0	0	0
1410	226	0	0	0.000000	1.084071	1.084071	0.000000	0.000000	0	0	0
1411	48	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1412	1	2	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
1413	1	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1414	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1415	4	2	1	0.000000	4.000000	2.000000	0.000000	0.000000	0	0	0
1416	5	1	1	0.000000	2.000000	1.000000	0.000000	0.000000	0	0	0
1417	2	1	2	0.000000	5.000000	3.000000	0.000000	0.000000	0	0	0
1418	2	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1419	98	1	0	0.000000	1.295918	1.295918	0.000000	0.000000	0	0	0
1420	2	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1421	3	3	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
1422	139	0	1	0.000000	1.201439	1.201439	0.000000	0.000000	0	0	0
1423	130	0	0	0.000000	1.453846	1.453846	0.000000	0.000000	0	0	0
1424	4	2	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1425	21	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1426	18	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1427	7	1	1	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
1428	1	1	5	0.000000	66.000000	6.000000	0.000000	0.000000	0	0	0
1429	130	0	0	0.000000	1.892308	1.892308	0.000000	0.000000	0	0	0
1430	110	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1431	84	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1432	119	0	0	0.000000	1.915966	1.915966	0.000000	0.000000	0	0	0
1433	130	0	0	0.000000	1.230769	1.230769	0.000000	0.000000	0	0	0
1434	186	0	0	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
1435	46	1	1	0.000000	1.021739	1.021739	0.000000	0.000000	0	0	0
1436	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
1437	1	2	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
1438	1	2	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
1439	1	2	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
1440	3	2	2	0.000000	4.333333	4.333333	0.000000	0.000000	0	0	0
1441	2	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1442	61	0	1	0.000000	1.016393	1.016393	0.000000	0.000000	0	0	0
1443	130	0	0	0.000000	1.738462	1.738462	0.000000	0.000000	0	0	0
1444	237	0	0	0.000000	1.097046	1.097046	0.000000	0.000000	0	0	0
1445	59	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1446	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1447	3	2	2	0.000000	2.333333	2.333333	0.000000	0.000000	0	0	0
1448	4	1	2	0.000000	4.750000	3.000000	0.000000	0.000000	0	0	0
1449	1	1	2	0.000000	6.000000	4.000000	0.000000	0.000000	0	0	0
1450	21	1	1	0.000000	1.476190	1.476190	0.000000	0.000000	0	0	0
1451	12	2	2	0.000000	3.166667	3.166667	0.000000	0.000000	0	0	0
1452	24	1	1	0.000000	1.041667	1.041667	0.000000	0.000000	0	0	0
1453	33	1	2	0.000000	1.181818	1.151515	0.000000	0.000000	0	0	0
1454	165	0	0	0.000000	1.575758	1.575758	0.000000	0.000000	0	0	0
1455	158	0	1	0.000000	1.367089	1.367089	0.000000	0.000000	0	0	0
1456	107	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1457	231	0	0	0.000000	1.125541	1.125541	0.000000	0.000000	0	0	0
1458	130	0	0	0.000000	1.669231	1.669231	0.000000	0.000000	0	0	0
1459	86	1	0	0.000000	1.941860	1.790698	0.000000	0.000000	0	0	0
1460	31	2	2	0.000000	3.870968	3.225806	0.000000	0.000000	0	0	0
1461	19	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1462	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1463	54	1	1	0.000000	1.518519	1.518519	0.000000	0.000000	0	0	0
1464	16	1	1	0.000000	8.125000	4.000000	0.000000	0.000000	0	0	0
1465	14	1	1	0.000000	7.571429	6.857143	0.000000	0.000000	0	0	0
1466	9	2	2	0.000000	10.111111	9.222222	0.000000	0.000000	0	0	0
1467	11	2	1	0.000000	9.181818	7.272727	0.000000	0.000000	0	0	0
1468	53	2	0	0.000000	1.094340	1.094340	0.000000	0.000000	0	0	0
1469	82	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1470	223	0	1	0.000000	1.847534	1.847534	0.000000	0.000000	0	0	0
1471	130	0	0	0.000000	1.692308	1.692308	0.000000	0.000000	0	0	0
1472	55	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1473	130	0	0	0.000000	1.561538	1.561538	0.000000	0.000000	0	0	0
1474	180	0	0	0.000000	1.438889	1.438889	0.000000	0.000000	0	0	0
1475	181	0	0	0.000000	1.436464	1.436464	0.000000	0.000000	0	0	0
1476	59	2	0	0.000000	1.016949	1.016949	0.000000	0.000000	0	0	0
1477	57	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1478	130	0	0	0.000000	1.453846	1.453846	0.000000	0.000000	0	0	0
1479	80	2	1	0.000000	2.075000	2.075000	0.000000	0.000000	0	0	0
1480	91	0	1	0.000000	1.032967	1.032967	0.000000	0.000000	0	0	0
1481	128	1	1	0.000000	1.812500	1.812500	0.000000	0.000000	0	0	0
1482	3	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1483	212	0	0	0.000000	1.226415	1.226415	0.000000	0.000000	0	0	0
1484	89	2	0	0.000000	2.000000	1.550562	0.000000	0.000000	0	0	0
1485	10	2	2	0.000000	3.200000	2.000000	0.000000	0.000000	0	0	0
1486	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1487	12	1	2	0.000000	1.083333	1.083333	0.000000	0.000000	0	0	0
1488	198	0	0	0.000000	1.313131	1.313131	0.000000	0.000000	0	0	0
1489	239	0	0	0.000000	1.087866	1.087866	0.000000	0.000000	0	0	0
1490	136	0	0	0.000000	1.911765	1.911765	0.000000	0.000000	0	0	0
1491	130	0	0	0.000000	1.361538	1.361538	0.000000	0.000000	0	0	0
1492	10	2	2	0.000000	7.500000	3.000000	0.000000	0.000000	0	0	0
1493	130	0	0	0.000000	1.953846	1.953846	0.000000	0.000000	0	0	0
1494	138	2	0	0.000000	1.231884	1.231884	0.000000	0.000000	0	0	0
1495	130	0	0	0.000000	1.507692	1.507692	0.000000	0.000000	0	0	0
1496	130	0	0	0.000000	1.400000	1.400000	0.000000	0.000000	0	0	0
1497	86	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1498	95	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1499	162	0	0	0.000000	2.172840	2.172840	0.000000	0.000000	0	0	0
1500	2	2	1	0.000000	26.000000	2.000000	0.000000	0.000000	0	0	0
1501	33	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1502	1	3	2	0.000000	22.000000	11.000000	0.000000	0.000000	0	0	0
1503	2	4	1	0.000000	18.500000	7.500000	0.000000	0.000000	0	0	0
1504	130	0	0	0.000000	1.953846	1.953846	0.000000	0.000000	0	0	0
1505	39	1	1	0.000000	2.153846	2.102564	0.000000	0.000000	0	0	0
1506	5	1	1	0.000000	2.000000	1.000000	0.000000	0.000000	0	0	0
1507	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1508	4	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1509	123	1	1	0.000000	1.707317	1.707317	0.000000	0.000000	0	0	0
1510	6	1	3	0.000000	6.000000	5.000000	0.000000	0.000000	0	0	0
1511	130	0	0	0.000000	1.369231	1.369231	0.000000	0.000000	0	0	0
1512	215	0	1	0.000000	2.111628	2.013953	0.000000	0.000000	0	0	0
1513	130	0	0	0.000000	1.169231	1.169231	0.000000	0.000000	0	0	0
1514	130	0	0	0.000000	1.507692	1.507692	0.000000	0.000000	0	0	0
1515	256	0	0	0.000000	1.234375	1.234375	0.000000	0.000000	0	0	0
1516	221	0	0	0.000000	1.918552	1.918552	0.000000	0.000000	0	0	0
1517	5	2	1	0.000000	2.200000	2.200000	0.000000	0.000000	0	0	0
1518	20	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1519	3	1	2	0.000000	7.000000	5.666667	0.000000	0.000000	0	0	0
1520	14	2	2	0.000000	6.357143	2.714286	0.000000	0.000000	0	0	0
1521	1	1	1	0.000000	7.000000	4.000000	0.000000	0.000000	0	0	0
1522	21	2	1	0.000000	9.904762	7.571429	0.000000	0.000000	0	0	0
1523	23	2	1	0.000000	9.391304	6.173913	0.000000	0.000000	0	0	0
1524	197	0	0	0.000000	2.355330	2.355330	0.000000	0.000000	0	0	0
1525	181	0	0	0.000000	1.436464	1.436464	0.000000	0.000000	0	0	0
1526	208	0	0	0.000000	1.250000	1.250000	0.000000	0.000000	0	0	0
1527	268	0	0	0.000000	1.455224	1.455224	0.000000	0.000000	0	0	0
1528	178	0	0	0.000000	1.353933	1.353933	0.000000	0.000000	0	0	0
1529	214	0	0	0.000000	1.214953	1.214953	0.000000	0.000000	0	0	0
1530	157	0	0	0.000000	1.656051	1.656051	0.000000	0.000000	0	0	0
1531	130	0	0	0.000000	1.769231	1.769231	0.000000	0.000000	0	0	0
1532	114	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1533	71	0	2	0.000000	1.507042	1.507042	0.000000	0.000000	0	0	0
1534	250	0	0	0.000000	2.080000	1.996000	0.000000	0.000000	0	0	0
1535	130	0	0	0.000000	2.000000	1.838462	0.000000	0.000000	0	0	0
1536	136	0	0	0.000000	1.911765	1.911765	0.000000	0.000000	0	0	0
1537	2	2	1	0.000000	10.500000	4.500000	0.000000	0.000000	0	0	0
1538	9	2	2	0.000000	9.666667	4.111111	0.000000	0.000000	0	0	0
1539	2	2	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
1540	1	2	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
1541	20	1	1	0.000000	4.100000	3.200000	0.000000	0.000000	0	0	0
1542	3	1	2	0.000000	11.000000	4.666667	0.000000	0.000000	0	0	0
1543	12	1	2	0.000000	11.666667	5.333333	0.000000	0.000000	0	0	0
1544	6	2	2	0.000000	11.500000	4.000000	0.000000	0.000000	0	0	0
1545	21	1	1	0.000000	8.571429	2.619048	0.000000	0.000000	0	0	0
1546	145	0	0	0.000000	1.793103	1.613793	0.000000	0.000000	0	0	0
1547	104	0	0	0.000000	1.798077	1.798077	0.000000	0.000000	0	0	0
